date,totalPassengers
2019-02-21,4642.0
2019-02-22,5301.0
2019-02-23,4836.0
2019-02-24,4886.0
2019-02-25,4000.0
2019-02-26,2901.0
2019-02-27,3308.0
2019-02-28,4605.0
2019-03-01,5122.0
2019-03-02,4456.0
2019-03-03,4538.0
2019-03-04,3727.0
2019-03-05,3063.0
2019-03-06,4576.0
2019-03-07,8166.0
2019-03-08,7571.0
2019-03-09,3247.0
2019-03-10,6458.0
2019-03-11,4891.0
2019-03-12,3250.0
2019-03-13,3350.0
2019-03-14,4421.0
2019-03-15,5435.0
2019-03-16,4672.0
2019-03-17,5258.0
2019-03-18,5112.0
2019-03-19,3163.0
2019-03-20,4233.0
2019-03-21,5019.0
2019-03-22,5565.0
2019-03-23,7017.0
2019-03-24,5346.0
2019-03-25,6613.0
2019-03-26,4433.0
2019-03-27,4741.0
2019-03-28,4958.0
2019-03-29,5735.0
2019-03-30,6722.0
2019-03-31,6216.0
2019-04-01,3803.0
2019-04-02,2303.0
2019-04-03,2493.0
2019-04-04,3112.0
2019-04-05,4378.0
2019-04-06,3903.0
2019-04-07,3871.0
2019-04-08,2260.0
2019-04-09,1694.0
2019-04-10,1828.0
2019-04-11,2116.0
2019-04-12,3095.0
2019-04-13,1684.0
2019-04-14,2328.0
2019-04-15,1219.0
2019-04-16,929.0
2019-04-17,1160.0
2019-04-18,1879.0
2019-04-19,2714.0
2019-04-20,1665.0
2019-04-21,2064.0
2019-04-22,1060.0
2019-04-23,657.0
2019-04-24,782.0
2019-04-25,937.0
2019-04-26,2039.0
2019-04-27,1952.0
2019-04-28,1424.0
2019-04-29,2123.0
2019-04-30,6982.0
2019-05-01,7872.0
2019-05-02,2608.0
2019-05-03,1946.0
2019-05-04,2259.0
2019-05-05,2598.0
